rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 11 특별판,"SUN SUN SUN, 모모코, 이승원",디앤씨미디어(D&C미디어),2026년 07월,30000,27000,,	9791127888329,https://www.yes24.com/product/goods/193181318
2,원피스 ONE PIECE 114,오다 에이이치로,대원,2026년 06월,6500,5850,9.5,	9791142355851,https://www.yes24.com/product/goods/192110011
3,만화 데뷔 못 하면 죽는 병 걸림 4 한정판,"백덕수, 장진, 소흔",파인툰(FineToon),2026년 10월,55000,49500,10.0,	9791141548445,https://www.yes24.com/product/goods/193051609
4,사카모토 데이즈 26 더블특전판,스즈키 유우토,대원,2026년 06월,6500,5850,10.0,	9791142355868,https://www.yes24.com/product/goods/192279758
5,가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 11,"SUN SUN SUN, 모모코, 이승원",디앤씨미디어(D&C미디어),2026년 07월,8500,7650,,	9791127888176,https://www.yes24.com/product/goods/193181355
6,반딧불이의 혼례 11,"타치바나 오레코, 유유리",서울미디어코믹스(서울문화사),2026년 06월,8500,7650,10.0,	9791142819971,https://www.yes24.com/product/goods/192877986
7,학생회에도 구멍은 있다! 12,"무치마로, 옷무",소미미디어,2026년 07월,7000,6300,,	9791138444729,https://www.yes24.com/product/goods/193410063
8,장송의 프리렌 15,"야마다 카네히토, 아베 츠카사",학산문화사,2026년 06월,7000,6300,9.8,	9791141184117,https://www.yes24.com/product/goods/191699911
9,향기로운 꽃은 늠름하게 핀다 21 일반판,미카미 사카,대원,2026년 06월,7000,6300,10.0,	9791142355295,https://www.yes24.com/product/goods/192468298
10,원펀맨 ONE PUNCH MAN 35,"ONE, 무라타 유스케",대원,2026년 06월,6000,5400,9.8,	9791142355240,https://www.yes24.com/product/goods/192491384
11,패밀리 레스토랑 가자. 下,"와야마 야마, 현승희",문학동네,2026년 06월,8500,7650,9.2,	9791141616878,https://www.yes24.com/product/goods/192145622
12,슈퍼 러버즈 (Super Lovers) 19,"아베 미유키, 정효진",서울미디어코믹스(서울문화사),2026년 07월,6000,5400,,,https://www.yes24.com/product/goods/193155843
13,슈퍼 뒤에서 담배 피우는 두 사람 8 특별판,"지누시, 김성래",디앤씨미디어(D&C미디어),2026년 06월,26000,23400,10.0,	9791127888169,https://www.yes24.com/product/goods/191817199
14,애태울 정도의 사랑을 알아라 3,쿄노 마코,학산문화사,2026년 07월,7000,6300,10.0,	9791141183936,https://www.yes24.com/product/goods/193347212
15,만화 가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 8,"SUN SUN SUN, 테나마치 사호, 이승원",디앤씨미디어(D&C미디어),2026년 07월,7000,6300,,	9791127888183,https://www.yes24.com/product/goods/193181340
16,루리 드래곤 5,"신도 마사오키, 이루다",서울미디어코믹스(서울문화사),2026년 06월,6000,5400,10.0,	9791142828645,https://www.yes24.com/product/goods/192676812
17,슈퍼 뒤에서 담배 피우는 두 사람 8,"지누시, 김성래",디앤씨미디어(D&C미디어),2026년 06월,7000,6300,9.6,	9791127888022,https://www.yes24.com/product/goods/191817204
18,어떤 여름방학,궁리(박조은),휴머니스트,2026년 06월,22000,19800,,	9791170875253,https://www.yes24.com/product/goods/192871561
19,완전 쓰레기인 와타라세인데 3,나카가와 파리,대원,2026년 06월,6000,5400,10.0,	9791142354250,https://www.yes24.com/product/goods/192874078
20,Re : 제로부터 시작하는 이세계 생활 42,"나가츠키 탓페이, 오츠카 신이치로",미스터블루,2026년 07월,8000,7200,10.0,	9791138068802,https://www.yes24.com/product/goods/192565120
