rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,최상위권의 비밀,김민지,동양북스(동양books),2026년 08월,19800,17820,10.0,	9791172102357,https://www.yes24.com/product/goods/194171304
2,우런니 샌드위치,Cream Park (박혜진),클,2026년 09월,22000,19800,8.7,	9791194374954,https://www.yes24.com/product/goods/195381782
3,간결한 식탁 레시피,간결한 식탁,래디시,2026년 08월,26000,23400,10.0,	9791193406168,https://www.yes24.com/product/goods/194893532
4,류수영의 평생 레시피,류수영,세미콜론,2025년 06월,25000,22500,9.7,	9791194087700,https://www.yes24.com/product/goods/148068039
5,한자 어휘 일력 365,이은경,서교책방,2026년 08월,25000,22500,10.0,	9791124497142,https://www.yes24.com/product/goods/195215926
6,최민준의 아들코칭 백과,최민준,위즈덤하우스,2023년 08월,18800,16920,9.8,	9791168127531,https://www.yes24.com/product/goods/122103181
7,추추의 집밥 클래스,추재현,용감한까치,2026년 06월,22200,19980,9.9,	9791191994513,https://www.yes24.com/product/goods/192498321
8,아이 마음 멍들지 않게,이근후,다산북스,2026년 08월,19000,17100,10.0,	9791130682686,https://www.yes24.com/product/goods/195234474
9,임신 출산 육아 대백과 최신개정판,,삼성출판사,2026년 07월,19500,17550,8.7,	9788915008601,https://www.yes24.com/product/goods/194523586
10,0~3세 기적의 뇌과학 육아,"그리어 커센바움, 이은정",21세기북스,2024년 07월,20000,18000,9.9,	9791171174348,https://www.yes24.com/product/goods/128589752
11,뿐이 토핑 이유식,"정주희, 이수진",서사원,2024년 03월,29800,26820,9.7,	9791168222724,https://www.yes24.com/product/goods/125183742
12,걍레오 그냥 레오의 오늘 요리,강레오,하이스트,2026년 07월,26000,23400,10.0,	9791193282793,https://www.yes24.com/product/goods/193851798
13,세상을 움직이는 아이들은 무엇이 다른가,임지은,다빈치페이지,2026년 09월,18800,16920,,	9791122019827,https://www.yes24.com/product/goods/195259204
14,김수연의 아기발달 백과,김수연,삼인,2024년 11월,28000,25200,9.8,	9788964360002,https://www.yes24.com/product/goods/139734658
15,삐뽀삐뽀 119 이유식,하정훈,유니책방,2017년 12월,18900,17010,9.7,	9791195795529,https://www.yes24.com/product/goods/57468926
16,천종현의 초등수학 공부의 정석,천종현,웅진지식하우스,2026년 07월,19000,17100,9.9,	9788901300276,https://www.yes24.com/product/goods/193451380
17,노력이 무기가 될 때,김현주,청림Life,2026년 07월,19000,17100,10.0,	9791193842775,https://www.yes24.com/product/goods/193358848
18,진지인 다이어트 밀프렙 레시피,김지인,길벗,2026년 07월,22000,19800,10.0,	9791140719617,https://www.yes24.com/product/goods/193180091
19,내 몸을 바꾸는 집밥테라피,"박용우, 김영아",루미너스,2026년 06월,24000,21600,9.6,	9791198553386,https://www.yes24.com/product/goods/189497782
20,"첫째 아이 마음 아프지 않게, 둘째 아이 마음 흔들리지 않게",이보연,교보문고,2026년 05월,20000,18000,9.3,	9791170613978,https://www.yes24.com/product/goods/190273400
21,입시는 중학교에서 끝난다,"오대교, tvN STORY & LG헬로비전 〈일타맘〉",타인의취향,2026년 08월,22000,19800,9.8,	9791199359383,https://www.yes24.com/product/goods/194610628
22,"엄마, 나는 자라고 있어요","헤티 판 더 레이트, 프란스 X. 프로에이, 자비에라 프로에이, 유영미, 김수연",북폴리오,2019년 12월,22000,19800,9.7,	9791164133055,https://www.yes24.com/product/goods/85466721
23,무염·저염 하나로 끝내는 베이스 유아식,애플랜,길벗,2026년 07월,24000,21600,10.0,	9791140719068,https://www.yes24.com/product/goods/192871455
24,삐뽀삐뽀 119 소아과,하정훈,유니책방,2016년 07월,29800,26820,9.6,	9791195795505,https://www.yes24.com/product/goods/29646280
25,세줄쓰기,이은경,상상아카데미,2022년 07월,12000,10800,9.6,	9791185402628,https://www.yes24.com/product/goods/110712069
26,부모의 어휘력을 위한 66일 필사 노트,김종원,카시오페아,2025년 04월,22000,19800,9.8,	9791168272934,https://www.yes24.com/product/goods/145337604
27,불편함을 다룰 줄 아는 아이,최재희,청림Life,2026년 08월,20000,18000,10.0,	9791193842805,https://www.yes24.com/product/goods/194752267
28,세상에서 제일 재밌는 종이접기,이원표,슬로래빗,2018년 08월,14000,12600,9.5,	9791186494431,https://www.yes24.com/product/goods/63592662
29,영혼이 강한 아이로 키워라,조선미,북하우스,2023년 10월,17500,15750,9.9,	9791164052202,https://www.yes24.com/product/goods/122758298
30,아리미의 베스트셀러 샌드위치,신아림,레시피팩토리(단행),2026년 08월,25000,22500,10.0,	9791192366715,https://www.yes24.com/product/goods/195102188
31,한 번 배우면 평생 쓰는 영양학,"김도연, 이이다 가오루코, 데라모토 아이",한스미디어,2026년 07월,22000,19800,10.0,	9791124272497,https://www.yes24.com/product/goods/193889809
32,집밥력,홀썸모먼트,세미콜론,2026년 06월,32500,29250,9.2,	9791124336557,https://www.yes24.com/product/goods/192274401
33,잘 자고 잘 먹는 아기의 시간표,정재호,한빛라이프,2026년 05월,22000,19800,,	9791194725435,https://www.yes24.com/product/goods/188189412
34,아이주도 이유식 유아식 매뉴얼 세트,BLW 연구소,아퍼블리싱,2021년 08월,23500,21150,9.7,	9791195616169,https://www.yes24.com/product/goods/103195100
35,수연이네 사남매 이유식,"유수연, 김미리",레시피팩토리(단행),2026년 05월,29800,26820,10.0,	9791192366685,https://www.yes24.com/product/goods/189591763
36,똑게육아,로리(김준희),북로스트,2022년 02월,22200,19980,9.6,	9791197672125,https://www.yes24.com/product/goods/107513921
37,사춘기 아이와 대화하는 법은 따로 있습니다,홍순범,포레스트북스,2026년 08월,18500,16650,,	9791124591123,https://www.yes24.com/product/goods/195383516
38,이은경쌤의 사자성어 속담 일력 365,이은경,포레스트북스,2023년 10월,22000,19800,9.6,	9791192625881,https://www.yes24.com/product/goods/122865851
39,중등부터 시작하는 학군지 최상위권 국어 공부법,지은혜,메가스터디북스,2026년 09월,22000,19800,10.0,	9791129718860,https://www.yes24.com/product/goods/195437313
40,생기부를 결정하는 최상위권 중등 탐구 독서,"박은선, 배혜림",메가스터디북스,2026년 07월,21000,18900,10.0,	9791129718396,https://www.yes24.com/product/goods/192630651
41,오늘은 아무래도 덮밥,"이마이 료, 이진숙",참돌,2020년 06월,4300,3870,9.0,	9791188601387,https://www.yes24.com/product/goods/90577235
42,"AI 시대, 부모로 살아가기: AI 교수 아빠와 유아교육 전문가 엄마가 합의한 우리 집 AI 원칙","김덕진, 임한나",한빛미디어,2026년 09월,19800,17820,9.9,	9791175790889,https://www.yes24.com/product/goods/195407905
43,어떻게 말해줘야 할까,"오은영, 차상미",김영사,2020년 10월,19800,17820,9.7,	9788934986652,https://www.yes24.com/product/goods/93522583
44,하루 5분 아빠 목소리,"정홍, 김승연",위즈덤하우스,2014년 11월,19500,17550,9.5,	9791186117002,https://www.yes24.com/product/goods/15084524
45,어른도 아이도 다 잘 먹는 집밥 레시피,권예은(츄릅),길벗,2026년 06월,22000,19800,9.6,	9791140719013,https://www.yes24.com/product/goods/191546075
46,돼지핑거의 미니카 종이접기,돼지핑거,종이나라,2025년 12월,15000,13500,10.0,	9788976228260,https://www.yes24.com/product/goods/168226346
47,SKY 합격 생기부 공식,"윤윤구, 장성민",빅피시,2026년 07월,22000,19800,10.0,	9791124137529,https://www.yes24.com/product/goods/193602848
48,스타듀 밸리 공식 레시피북,"라이언 노박, 에릭 바론, 정연주",영진닷컴,2026년 06월,32000,28800,,	9788931481709,https://www.yes24.com/product/goods/193084291
49,대한민국 입시 죽음의 삼각형,서보현,체인지업,2026년 08월,20000,18000,10.0,	9791124863008,https://www.yes24.com/product/goods/194396842
50,스위치온 다이어트 레시피북,"박용우, 김영아",루미너스,2025년 05월,23000,20700,9.9,	9791198553379,https://www.yes24.com/product/goods/146273598
51,브런치 하다앳홈,박정아,시원북스,2026년 03월,22000,19800,9.9,	9791194687528,https://www.yes24.com/product/goods/182795030
52,냉동 집밥 대백과,"요오리, 스테파니 리",용감한까치,2025년 11월,22800,20520,9.6,	9791191994452,https://www.yes24.com/product/goods/162888977
53,그릿 GRIT,김주환,인플루엔셜,2025년 02월,18800,16920,9.6,	9791168342682,https://www.yes24.com/product/goods/142805048
54,브리오슈,윤문주,더테이블,2026년 07월,28000,25200,10.0,	9791192855271,https://www.yes24.com/product/goods/193984157
55,한 권으로 끝내는 합격 생기부 탐구력,이로울쌤,카시오페아,2026년 03월,24000,21600,10.0,	9791168274181,https://www.yes24.com/product/goods/181122555
56,"다시, 공부머리 독서법: 초등 고학년, 청소년 편",최승필,책구루,2026년 02월,21000,18900,9.9,	9791199281325,https://www.yes24.com/product/goods/174023049
57,"다시, 공부머리 독서법: 영유아, 초등 저학년 편",최승필,책구루,2025년 03월,19000,17100,9.6,	9791196316860,https://www.yes24.com/product/goods/142804366
58,우리동네 어린이병원 육아대백과,"손수예, 박소영",청림Life,2024년 03월,27000,24300,9.9,	9791193842003,https://www.yes24.com/product/goods/125091799
59,멈추지 못하는 아이들,선자연,북하우스,2026년 09월,18500,16650,10.0,	9791164053704,https://www.yes24.com/product/goods/195408696
60,자기주도 초등 수학 로드맵,최경희,21세기북스,2026년 08월,22000,19800,10.0,	9791176611459,https://www.yes24.com/product/goods/194301213
61,아이의 친구관계를 다루다,정유진,니들북,2026년 07월,20000,18000,10.0,	9791142357763,https://www.yes24.com/product/goods/193046831
62,주제 일기쓰기,이은경,상상아카데미,2022년 07월,12000,10800,9.8,	9791185402635,https://www.yes24.com/product/goods/110712090
63,베이비 몬테소리 육아대백과,"시모네 데이비스, 주니파 우조다이크, 조은경, 정이비",키출판사,2021년 07월,17000,15300,9.7,	9791165260859,https://www.yes24.com/product/goods/102486557
64,감정의 발견,"마크 브래킷, 임지연",북라이프,2020년 09월,16800,15120,9.4,	9791188850983,https://www.yes24.com/product/goods/92085016
65,만약 우리의 언어가 위스키라고 한다면,"무라카미 하루키, 무라카미 요오코, 이윤정",문학사상,2020년 06월,13000,11700,9.1,	9788970126180,https://www.yes24.com/product/goods/90954147
66,오늘의 일인분 일식,"베터홈 협회, 이진숙",참돌,2019년 06월,4300,3870,9.1,	9791188601233,https://www.yes24.com/product/goods/74586242
67,229가지 자연의 맛 선재 스님의 사찰 음식,선재 스님,디자인하우스,2011년 03월,15000,13500,9.7,	9788970419176,https://www.yes24.com/product/goods/1502705
68,나의 두 번째 교과서 X 나민애의 다시 만난 국어,"나민애, EBS 제작팀",페이지2북스,2024년 12월,19800,17820,9.8,	9791169851169,https://www.yes24.com/product/goods/140001949
69,부모의 어휘력,김종원,카시오페아,2024년 06월,19000,17100,9.6,	9791168271999,https://www.yes24.com/product/goods/127050264
70,엄마의 말 연습,윤지영,카시오페아,2022년 09월,17500,15750,9.8,	9791168270749,https://www.yes24.com/product/goods/112925092
71,중3을 위한 고등학교 사용 설명서,이승우,좋은습관연구소,2026년 04월,20000,18000,10.0,	9791193639818,https://www.yes24.com/product/goods/182760573
72,평범한 아이들은 어떻게 최상위권이 되었을까,이창준,스틸당(STEALDANG),2026년 04월,19500,17550,10.0,	9791199337428,https://www.yes24.com/product/goods/182436870
73,윤여정의 2028 대입 완전 정복,윤여정,21세기북스,2026년 02월,22000,19800,10.0,	9791173578137,https://www.yes24.com/product/goods/180314527
74,불안의 시간을 건너는 너를 지키는 말,"스즈키 하야토, 이선주",퍼스트페이지,2026년 02월,17800,16020,10.0,	9791199340053,https://www.yes24.com/product/goods/175278245
75,세상에서 가장 친절한 종이접기 : 인기편,종이쌤,동양북스(동양books),2025년 05월,16800,15120,9.9,	9791172101084,https://www.yes24.com/product/goods/145754934
76,엄마표 영어 : 흘려듣기 절대로 하지 마라!,Mike Hwang,마이클리시(miklish),2023년 12월,2000,1800,9.3,	9791187158561,https://www.yes24.com/product/goods/123057861
77,이은경쌤의 초등어휘일력 365,이은경,포레스트북스,2022년 10월,18800,16920,9.8,	9791192625300,https://www.yes24.com/product/goods/114853233
78,공부머리 독서법,최승필,책구루,2018년 05월,16500,14850,9.6,	9791196316808,https://www.yes24.com/product/goods/59993940
79,파베이크: 생산 효율과 품질을 동시에 구현하는 파베이킹 시스템,박영수,더테이블,2026년 08월,32000,28800,,	9791192855288,https://www.yes24.com/product/goods/195224631
