rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,완벽한 원시인,자청,필로틱,2026년 03월,22000,19800,9.3,	9791199383074,https://www.yes24.com/product/goods/180137091
2,코스모스,"칼 에드워드 세이건, 홍승수",사이언스북스,2006년 12월,22000,19800,9.6,	9788983711892,https://www.yes24.com/product/goods/2312211
3,"AI, 신의 탄생 인간의 종말","엘리에저 유드코스키, 네이트 소아레스, 고영훈",상상스퀘어,2026년 04월,22000,19800,9.9,	9791124248256,https://www.yes24.com/product/goods/184261820
4,이기적 유전자 The Selfish Gene,"리처드 도킨스, 홍영남, 이상임",을유문화사,2018년 10월,20000,18000,9.2,	9788932473901,https://www.yes24.com/product/goods/65067259
5,지리로 보는 세상의 비밀,"녠웨, 하은지",이든서재,2026년 05월,19800,17820,10.0,	9791194812210,https://www.yes24.com/product/goods/188189624
6,"미적분, 놀라운 일상의 공식","구라모토 다카후미, 김소영",미디어숲,2024년 09월,22000,19800,9.9,	9791158742300,https://www.yes24.com/product/goods/132972751
7,수학의 쓸모,"닉 폴슨, 제임스 스콧, 노태복",더퀘스트,2020년 04월,22000,19800,9.4,	9791165210991,https://www.yes24.com/product/goods/89607340
8,착한 염증 나쁜 염증,이승훈,웅진지식하우스,2026년 04월,21000,18900,10.0,	9788901299778,https://www.yes24.com/product/goods/188014455
9,물고기는 존재하지 않는다,"룰루 밀러, 정지인",곰출판,2021년 12월,17000,15300,9.0,	9791189327156,https://www.yes24.com/product/goods/105526047
10,수학이 필요한 순간,김민형,인플루엔셜,2018년 08월,17800,16020,9.1,	9791186560785,https://www.yes24.com/product/goods/62776752
11,자연은 왜 이토록 단순하면서도 아름다운가,"로버트 칸, 크리스 퀴그, 박병철",알에이치코리아(RHK),2026년 04월,35000,31500,10.0,	9788925569543,https://www.yes24.com/product/goods/186833195
12,세계를 바꾼 17가지 방정식,"이언 스튜어트, 김지선",사이언스북스,2016년 02월,20000,18000,9.7,	9788983717436,https://www.yes24.com/product/goods/24338446
13,뇌는 어떻게 나를 조종하는가,"크리스 나이바우어, 김윤종",클랩북스,2026년 01월,18800,16920,9.5,	9791193941577,https://www.yes24.com/product/goods/171432215
14,마침내 특이점이 시작된다,"레이 커즈와일, 이충호, 장대익",비즈니스북스,2025년 06월,30000,27000,9.4,	9791162544259,https://www.yes24.com/product/goods/147311959
15,처음 만나는 양자의 세계,채은미,북플레저,2025년 09월,19000,17100,9.3,	9791193937990,https://www.yes24.com/product/goods/153908443
16,특이점이 온다,"레이 커즈와일, 정재승, 김명남, 장시형, 진대제",김영사,2025년 03월,42000,37800,8.2,	9791173320873,https://www.yes24.com/product/goods/143757152
17,수학이 생명의 언어라면,김재경,동아시아,2024년 09월,18000,16200,9.8,	9788962624953,https://www.yes24.com/product/goods/132552750
18,미적분의 쓸모,한화택,더퀘스트,2022년 05월,19500,17550,9.6,	9791165219550,https://www.yes24.com/product/goods/109590169
19,수학이 쉬워지는 최소한의 세계사,"후쿠스케, 이정현",현대지성,2026년 04월,18000,16200,9.6,	9791139730395,https://www.yes24.com/product/goods/183904018
20,이상한 과학책,"김진우, 최재천",빅피시,2025년 11월,18800,16920,9.9,	9791199491717,https://www.yes24.com/product/goods/163377599
21,코스모스,"칼 에드워드 세이건, 홍승수",사이언스북스,2004년 12월,50000,45000,9.8,	9788983711540,https://www.yes24.com/product/goods/1453555
22,정재승의 과학콘서트,정재승,어크로스,2020년 07월,18800,16920,9.7,	9791190030540,https://www.yes24.com/product/goods/90959711
23,거의 모든 것의 역사 2.0,"빌 브라이슨, 이덕환",까치(까치글방),2026년 01월,28000,25200,9.9,	9788972918882,https://www.yes24.com/product/goods/170397973
24,사춘기는 처음이라,이광렬,클랩북스,2026년 03월,19000,17100,9.7,	9791193941607,https://www.yes24.com/product/goods/181027438
25,부분과 전체,"베르너 카를 하이젠베르크, 유영미, 김재영",서커스출판상회,2023년 06월,23000,20700,9.6,	9791187295686,https://www.yes24.com/product/goods/119420682
26,늙지 않는 몸,"에릭 토폴, 이한음",다산초당,2026년 03월,33000,29700,10.0,	9791130675602,https://www.yes24.com/product/goods/182991040
27,수학의 언어로 세상을 본다면,"오구리 히로시, 서혜숙, 고선윤",바다출판사,2024년 11월,17800,16020,,	9791166893100,https://www.yes24.com/product/goods/139877846
28,수학비타민 플러스UP,박경미,김영사,2021년 08월,17500,15750,9.8,	9788934988397,https://www.yes24.com/product/goods/103168902
29,한국의 새,"이우신, 구태회, 박진영, 타니구찌 타카시",LG상록재단,2020년 12월,30000,27000,9.9,	9788995141588,https://www.yes24.com/product/goods/96086589
30,찬란한 멸종,이정모,다산북스,2024년 08월,21000,18900,9.3,	9791130655017,https://www.yes24.com/product/goods/130135671
31,떨림과 울림,김상욱,동아시아,2018년 11월,15000,13500,9.2,	9788962622508,https://www.yes24.com/product/goods/66322614
32,스트레스는 어떻게 나를 바꾸는가,하지현,어크로스,2026년 03월,19800,17820,9.6,	9791167742803,https://www.yes24.com/product/goods/183775554
33,이토록 위대한 몸,"줄리아 엔더스, 질 엔더스, 배명자",21세기북스,2026년 03월,24000,21600,9.6,	9791173577925,https://www.yes24.com/product/goods/180330927
34,세포를 재생하면 질병은 낫는다,조병식,서울셀렉션,2026년 05월,25000,22500,10.0,	9791189809973,https://www.yes24.com/product/goods/189116443
35,위험한 과학책 (10주년 기념판),"랜들 먼로, 이지연, 장영재, 이명현",시공사,2025년 11월,25000,22500,9.8,	9791171258659,https://www.yes24.com/product/goods/167459210
36,나무 같은 사람이 되고 싶다,"리즈 마빈, 애니 데이비드슨, 박은진",아멜리에북스,2025년 08월,17800,16020,10.0,	9791199031739,https://www.yes24.com/product/goods/150011719
37,울지 않는 늑대,"팔리 모왓, 이한중",돌베개,2003년 07월,9000,8100,8.8,	9788971991619,https://www.yes24.com/product/goods/380703
38,다정한 것이 살아남는다,"브라이언 헤어, 버네사 우즈, 이민아, 박한선",디플롯,2021년 07월,22000,19800,9.0,	9791197413025,https://www.yes24.com/product/goods/102836095
39,늙지 않는 뇌,"데일 브레드슨, 제효영",심심,2025년 11월,25000,22500,9.8,	9791172540883,https://www.yes24.com/product/goods/166816731
40,의식의 탄생,"오기 오거스, 사이 개덤, 김아림",진성북스,2026년 05월,25000,22500,10.0,	9788997743728,https://www.yes24.com/product/goods/188840042
41,진짜 하루만에 이해하는 반도체 산업,박진성,티더블유아이지,2023년 02월,23800,21420,9.5,	9791191590128,https://www.yes24.com/product/goods/117008111
42,모든 이야기는 숲에서 시작되었다,"베른트 하인리히, 강유리",윌북(willbook),2026년 05월,22000,19800,10.0,	9791155819289,https://www.yes24.com/product/goods/188927399
43,코스모스를 넘어,"세라 알람 말릭, 고현석",흐름출판,2026년 04월,23000,20700,9.8,	9788965968108,https://www.yes24.com/product/goods/184588562
44,모든 것은 결정되어 있다,"로버트 M. 새폴스키, 양병찬",문학동네,2026년 03월,43000,38700,8.4,	9791141609603,https://www.yes24.com/product/goods/183757559
45,AI가 쉬워지는 최소한의 수학,이동준,지상의책(갈매나무),2026년 02월,20000,18000,10.0,	9791193301074,https://www.yes24.com/product/goods/176526389
