rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,"세네카, 오늘을 빼앗기고 있는 당신에게","루키우스 안나이우스 세네카, 하와이 대저택",논픽션,2026년 07월,18000,16200,8.9,	9791199489561,https://www.yes24.com/product/goods/192474512
2,오디세이아,"호메로스, 페테르 파울 루벤스, 박문재",현대지성,2025년 04월,27000,24300,9.7,	9791139721973,https://www.yes24.com/product/goods/145242086
3,니체의 초월자,"프리드리히 니체, 김철",히읏,2025년 10월,16900,15210,9.8,	9791192559100,https://www.yes24.com/product/goods/161401496
4,오뒷세이아,"호메로스, 김헌",을유문화사,2026년 08월,25000,22500,9.8,	9788932476469,https://www.yes24.com/product/goods/194511329
5,일리아스&오디세이아 세트,"호메로스, 페테르 파울 루벤스, 박문재",현대지성,2025년 04월,55000,49500,9.9,	9791139721942,https://www.yes24.com/product/goods/145279346
6,나는 왜 네 말이 힘들까,박재연,한빛라이프,2026년 07월,22000,19800,10.0,	9791124656037,https://www.yes24.com/product/goods/194171309
7,문해내공,"신종호, 김윤정",상상스퀘어,2026년 08월,25000,22500,10.0,	9791124248515,https://www.yes24.com/product/goods/194182112
8,쇼펜하우어 인생수업 (30만 부 기념 개정증보판),"아르투어 쇼펜하우어, 김지민",하이스트,2024년 02월,17500,15750,8.9,	9791193282045,https://www.yes24.com/product/goods/125085536
9,다크 심리학,다크 사이드 프로젝트,어센딩,2025년 07월,21900,19710,9.2,	9791198754080,https://www.yes24.com/product/goods/149658696
10,유럽 도시 기행 3,유시민,생각의길,2026년 07월,18900,17010,8.5,	9788965138310,https://www.yes24.com/product/goods/193040623
11,데일 카네기의 인간관계 수업,"데일 카네기, 김상현",필름,2026년 07월,18800,16920,10.0,	9791124468302,https://www.yes24.com/product/goods/194328541
12,손자병법,"손자, 소준섭",현대지성,2025년 10월,13000,11700,9.7,	9791139728002,https://www.yes24.com/product/goods/154827889
13,빅터 프랭클의 죽음의 수용소에서,"빅터 프랭클, 이시형",청아출판사,2026년 01월,12000,10800,9.5,	9788936812621,https://www.yes24.com/product/goods/170736476
14,품격 있는 대화를 위한 지식 브리핑,김진,북플레저,2026년 04월,25000,22500,8.3,	9791124038413,https://www.yes24.com/product/goods/189116661
15,위버멘쉬,프리드리히 니체,떠오름,2025년 03월,17800,16020,9.1,	9791192372730,https://www.yes24.com/product/goods/142972546
16,사랑의 기술,"에리히 프롬, 강주헌",문예출판사,2026년 07월,18800,16920,9.5,	9788931027068,https://www.yes24.com/product/goods/192649322
17,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,2026년 02월,19800,17820,9.3,	9791124248171,https://www.yes24.com/product/goods/177044720
18,김헌의 그리스 로마 신화,김헌,을유문화사,2022년 03월,20000,18000,9.4,	9788932474649,https://www.yes24.com/product/goods/108442920
19,사피엔스,"유발 하라리, 조현욱, 이태수",김영사,2015년 11월,26800,24120,9.5,	9788934972464,https://www.yes24.com/product/goods/23030284
20,니체와 함께 지적 대화를,양원근,리미트리스,2026년 06월,18800,16920,9.9,	9791198409690,https://www.yes24.com/product/goods/192124118
21,오뒷세이아,"호메로스, 이준석",아카넷,2023년 10월,32000,28800,9.5,	9788957338865,https://www.yes24.com/product/goods/123146801
22,오뒷세이아: 흔들리는 인간에 대하여,조태경,논픽션,2026년 07월,19800,17820,8.7,	9791199489585,https://www.yes24.com/product/goods/193856837
23,일리아스,"호메로스, 페테르 파울 루벤스, 박문재",현대지성,2025년 04월,30000,27000,9.9,	9791139721966,https://www.yes24.com/product/goods/145242085
24,운명을 보는 기술,박성준,페이지2북스,2025년 10월,18800,16920,9.4,	9791169851626,https://www.yes24.com/product/goods/160067656
25,다크 심리학 2,다크 사이드 프로젝트,어센딩,2026년 04월,24200,21780,9.8,	9791198754097,https://www.yes24.com/product/goods/183755495
26,깨달은 들짐승처럼 살기로 했다,한그루,더퀘스트,2026년 08월,18000,16200,9.7,	9791140719785,https://www.yes24.com/product/goods/194752642
27,명상록,"마르쿠스 아우렐리우스, 박문재",현대지성,2018년 04월,12000,10800,9.6,	9791187142379,https://www.yes24.com/product/goods/59463540
28,일 마키아벨리,니콜로 마키아벨리,떠오름,2026년 07월,17800,16020,10.0,	9791192372792,https://www.yes24.com/product/goods/193444436
29,이향인,"라미 카민스키, 최지숙",21세기북스,2026년 03월,16900,15210,9.6,	9791173578601,https://www.yes24.com/product/goods/182009922
30,총 균 쇠,"재레드 다이아몬드, 강주헌",김영사,2023년 05월,29800,26820,9.7,	9788934942467,https://www.yes24.com/product/goods/118755085
31,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024년 10월,23800,21420,9.5,	9791171711673,https://www.yes24.com/product/goods/125557465
32,"오뒷세이아, 어떻게 읽을 것인가",김태진,민음사,2026년 07월,22000,19800,9.6,	9788937449635,https://www.yes24.com/product/goods/194350266
33,완벽한 원시인,자청,필로틱,2026년 03월,22000,19800,9.3,	9791199383074,https://www.yes24.com/product/goods/180137091
34,너무 성실한 시스템,이산,이너피스커뮤니케이션즈,2026년 07월,20000,18000,9.1,	9791199286917,https://www.yes24.com/product/goods/193582466
35,말하지 않고 말하기,김정운,21세기북스,2026년 05월,24000,21600,9.4,	9791173579721,https://www.yes24.com/product/goods/188859332
36,질문의 격,유선경,앤의서재,2025년 05월,17800,16020,9.4,	9791194877004,https://www.yes24.com/product/goods/146603660
37,편안함의 습격,"마이클 이스터, 김원진",수오서재,2025년 06월,22000,19800,9.5,	9791193238691,https://www.yes24.com/product/goods/147570099
38,해밀턴의 그리스로마신화,"이디스 해밀턴, 서미석",현대지성,2022년 04월,19900,17910,9.9,	9791139703603,https://www.yes24.com/product/goods/108669858
39,미움받을 용기 (200만 부 기념 스페셜 에디션),"기시미 이치로, 고가 후미타케, 전경아, 김정운",인플루엔셜,2022년 12월,15900,14310,9.2,	9791168340770,https://www.yes24.com/product/goods/116599423
40,초역 부처의 말,"코이케 류노스케, 박재현",포레스트북스,2024년 05월,17800,16020,9.5,	9791193506516,https://www.yes24.com/product/goods/126590468
41,인생에 한번은 오디세이아,"샘 아크바, 박미경",부키,2026년 07월,19500,17550,9.7,	9791175780347,https://www.yes24.com/product/goods/193392984
42,부처님 말씀대로 살아보니,"토니 페르난도, 강정선",윌마,2026년 02월,18900,17010,9.4,	9791199496651,https://www.yes24.com/product/goods/176913274
43,최소한의 삼국지,"최태성, 이성원",프런트페이지,2025년 11월,19500,17550,9.7,	9791193401583,https://www.yes24.com/product/goods/166390503
44,정의란 무엇인가,"마이클 샌델, 김명철, 김선욱",와이즈베리,2014년 11월,18000,16200,9.5,	9788937834790,https://www.yes24.com/product/goods/15156691
45,유럽 도시 기행 2,유시민,생각의길,2022년 07월,17500,15750,9.6,	9788965137702,https://www.yes24.com/product/goods/110243751
46,여덟 단어,박웅현,인티앤,2023년 06월,17000,15300,9.8,	9791197977046,https://www.yes24.com/product/goods/119410542
47,유럽 도시 기행 1,유시민,생각의길,2019년 07월,16500,14850,8.7,	9788965135586,https://www.yes24.com/product/goods/75447737
