rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,김미경의 플러스 휴먼,김미경,어웨이크(AWAKE),,17550,17550,10.0,	9791199624993,https://www.yes24.com/product/goods/189589723
2,주말 CEO,김광현,오리북스,,16200,16200,,	9791199294561,https://www.yes24.com/product/goods/189437083
3,체력을 바꿔야 재력이 바뀐다,정주영,메가믹스스튜디오,,18900,18900,10.0,	9791198393425,https://www.yes24.com/product/goods/189231979
4,어른의 진짜 공부,"정민서, 박민선, 송진성, 양소영, 김혜련",아토북,,15750,15750,10.0,	9791190194266,https://www.yes24.com/product/goods/189654613
5,"필사의 문장, 삶이 달라지는 기록",김이율,시원북스,2026년 05월,16800,15120,,	9791194687887,https://www.yes24.com/product/goods/189757197
6,아무리 화가 나도 바보와는 싸우지 마라,"다무라 고타로, 송수진",유노북스,2026년 05월,18000,16200,,	9791171831708,https://www.yes24.com/product/goods/189753701
7,AI 시대의 애기애타 리더십,"서상목, 안문혜",북코리아(Bookorea),2026년 05월,22000,22000,,	9791124621004,https://www.yes24.com/product/goods/189749790
8,바로 써먹는 스피치 교과서,김태옥,가나북스,2026년 06월,22000,19800,,	9791164461530,https://www.yes24.com/product/goods/189748978
9,출근길의 주문,이다혜,한겨레출판,2026년 06월,18000,16200,,	9791172134235,https://www.yes24.com/product/goods/189748666
10,"나다운 커리어 설계, 커리어 플래너",허제인,제인파트너스,2026년 01월,20000,18000,,	9791199694101,https://www.yes24.com/product/goods/189746516
11,마음이 통해야 말이 통한다,신정민,지식과감성#,2026년 05월,16800,15120,,	9791139232288,https://www.yes24.com/product/goods/189711922
12,"AI시대, 캡스톤디자인이 답이다",김근영,BOOKK(부크크),2026년 05월,18300,18300,,	9791112191977,https://www.yes24.com/product/goods/189673408
13,결정하지 않는 힘,정의,BOOKK(부크크),2026년 05월,7900,7900,,	9791112193094,https://www.yes24.com/product/goods/189673383
14,강의에 AI를 더하다,김학재,BOOKK(부크크),2026년 05월,16000,16000,,	9791112193759,https://www.yes24.com/product/goods/189673377
15,"취업하라니, 어떻게",이서명,BOOKK(부크크),2026년 05월,14200,14200,,	9791112192349,https://www.yes24.com/product/goods/189673255
16,ai를 활용한 나만의 그림책 만들기 워크북,호영미,BOOKK(부크크),2026년 05월,20000,20000,,	9791112193834,https://www.yes24.com/product/goods/189673252
17,커리어리빌딩,김종광,BOOKK(부크크),2026년 05월,11900,11900,,	9791112193667,https://www.yes24.com/product/goods/189673249
18,"스물다섯, 아직 길 위에 있는 나",임정민,BOOKK(부크크),2026년 05월,9000,9000,,	9791112195272,https://www.yes24.com/product/goods/189673196
19,강의의 기술,이연주(신비혜),BOOKK(부크크),2026년 05월,15000,15000,,	9791112191953,https://www.yes24.com/product/goods/189673195
20,방탄자기계발사관학교 7 (시대에 맞는 인재 양성 시스템),"최보규, 서윤희",BOOKK(부크크),2026년 05월,52200,52200,,	9791112194596,https://www.yes24.com/product/goods/189673193
21,방탄자기계발사관학교 8 (시대에 맞는 인재 양성 시스템),"최보규, 서윤희",BOOKK(부크크),2026년 05월,56100,56100,,	9791112194602,https://www.yes24.com/product/goods/189673188
22,딜리트,북토크,시그니스,2026년 05월,20800,18720,,	9791194347224,https://www.yes24.com/product/goods/189670328
23,부처님 말씀대로 회사생활,"댄 지그몬드, 최영열",자음과모음,2026년 05월,16800,15120,,	9788954474740,https://www.yes24.com/product/goods/189667500
24,생각이 인생을 바꾸는 게 아니라 행동이 인생을 바꾼다,"카레나 킬코인, 문가람",서스테인,2026년 05월,18800,16920,10.0,	9791193388365,https://www.yes24.com/product/goods/189655304
26,AI 조직,김성준,포르체,2026년 05월,23000,20700,,	9791194634997,https://www.yes24.com/product/goods/189634801
27,직원과 나누기 곤란한 대화 74,"폴 팔코네, 장진영",센시오,2026년 05월,22000,19800,10.0,	9791166572289,https://www.yes24.com/product/goods/189630752
28,달리기의 뇌과학,김대영,다산북스,2026년 05월,19000,17100,10.0,	9791130677491,https://www.yes24.com/product/goods/189628243
29,좋은 사람 찾지 말고 좋은 사람이 되어주자,"리무무, 김정자",빅마우스,2026년 06월,19500,17550,,	9791192556604,https://www.yes24.com/product/goods/189628177
30,캔들차트 하나로 끝내는 추세추종 투자 (큰글자도서),성승현,포르체,2026년 05월,48000,48000,,	9791194634942,https://www.yes24.com/product/goods/189627946
31,처음 만나는 반야심경,"요코타 난레이, 곽범신",더웨이브,2026년 05월,18000,16200,,	9791160322729,https://www.yes24.com/product/goods/189610446
32,내면 근력 + 무례한 세상에서 나를 지키는 법 세트,"발타자르 그라시안, 짐 머피, 하와이 대저택, 지여울",윌북(willbook)+논픽션,2026년 04월,41800,37620,9.5,,https://www.yes24.com/product/goods/189599562
34,브레인 리부트,,한문화,2026년 06월,25000,22500,,	9788956995052,https://www.yes24.com/product/goods/189590859
35,"나를 바꾸는 작은 기적, 감사",강민정,나비의활주로,2026년 05월,20000,18000,,	9791124401187,https://www.yes24.com/product/goods/189589649
36,월 천만 원 버는 보험 영업의 비밀,권종림,미다스북스(리틀미다스),2026년 05월,19000,17100,,	9791173559402,https://www.yes24.com/product/goods/189522263
37,우아한 여행,박미희,산지니,2026년 05월,25000,22500,,	9791168616677,https://www.yes24.com/product/goods/189522315
38,단독자,박진기,모티브,2026년 05월,19800,17820,,	9791124370452,https://www.yes24.com/product/goods/189521888
39,"골드 휴먼, AI 시대의 새로운 생존법과 부의 철학",재이,북바이북,2026년 05월,20000,18000,,	9791190812696,https://www.yes24.com/product/goods/189521501
40,질문 잘 하는 법,이관로,씽크스마트,2026년 06월,16800,15120,,	9788965295013,https://www.yes24.com/product/goods/189521320
41,적을 만들지 않는 대화법,"샘 혼, 이상원",갈매나무,2026년 05월,19000,17100,9.9,	9791124226094,https://www.yes24.com/product/goods/189520625
42,번뇌를 종료합니다,필로소피랩,각주,2026년 04월,18000,16200,,	9791194415343,https://www.yes24.com/product/goods/189520231
43,MZ직원도 따르는 MZ리더십,문대수,마음세상,2026년 06월,17900,16110,,	9791156366638,https://www.yes24.com/product/goods/189511980
44,파이터의 마음 근육,김재겸,지식과감성#,2026년 05월,19000,17100,,	9791139232134,https://www.yes24.com/product/goods/189507625
45,집에서 시작하는 엄마들의 AI 비즈니스,"오수화, 박새하, 이서진",미다스북스(리틀미다스),2026년 05월,18500,16650,,	9791173559389,https://www.yes24.com/product/goods/189503055
46,다정함을 다정하게,이혜진,파지트,2026년 05월,18000,16200,10.0,	9791171521371,https://www.yes24.com/product/goods/189490797
47,경험의 역습,"김기진, 변상록, 양수진, 박현문, 이소민, 정보 더 보기/감추기, 김기진, 변상록, 양수진, 박현문, 이소민, 가보경, 왕혜정, 이영길, 이재실",에릭스토리,2026년 05월,18000,16200,,	9791199772601,https://www.yes24.com/product/goods/189477422
48,생각의 반격,KASIA Crew 33인,에릭스토리,2026년 05월,19000,17100,,	9791199772618,https://www.yes24.com/product/goods/189476185
49,강단의 지배자들,"김순복, 강서연, 권민성, 김서희, 문은영, 정보 더 보기/감추기, 김순복, 강서연, 권민성, 김서희, 문은영, 손진권, 송유정, 양향희, 윤규리, 윤휘재, 이복자, 임정택, 장두원, 한수진, 황희정",한국강사교육진흥원,2024년 08월,19800,17820,,	9791198873880,https://www.yes24.com/product/goods/189468983
50,[그래제본소] 스스로 돕는다는 것,"새뮤얼 스마일즈, 충희",여린풀,2026년 05월,18000,16200,,,https://www.yes24.com//campaign/01_Book/yesFunding/yesFundingBook.aspx?EventNo=270858
51,나를 쓰다,이일건,밥북,2026년 05월,17000,15300,,	9791172231552,https://www.yes24.com/product/goods/189443013
52,늦은 인생은 없다,최은식,BOOKK(부크크),2026년 05월,8200,8200,,,https://www.yes24.com/product/goods/189439598
53,실전 면접답변 치트키 2,김영민,BOOKK(부크크),2026년 05월,14800,14800,,	9791112189363,https://www.yes24.com/product/goods/189439578
54,실전 자기소개서 치트키 2,김영민,BOOKK(부크크),2026년 05월,14800,14800,,	9791112189356,https://www.yes24.com/product/goods/189439573
55,돈의 작동원리,노크,BOOKK(부크크),2026년 05월,16400,16400,,	9791112189509,https://www.yes24.com/product/goods/189439546
56,프리미너 라이프 2.0,프리미너,BOOKK(부크크),2026년 05월,13500,13500,,	9791112190604,https://www.yes24.com/product/goods/189439518
57,꽤 괜찮은 일을 하고 있습니다,"길잡이스튜디오 (워드, 이로, 결)",BOOKK(부크크),2026년 05월,14900,14900,,	9791112190673,https://www.yes24.com/product/goods/189439503
58,열심히 산 죄밖에 없는 당신에게,나빛,BOOKK(부크크),2026년 05월,18500,18500,,	9791112187604,https://www.yes24.com/product/goods/189439497
59,질문하는 아이로 키워라,박점식,미코커뮤니케이션,2026년 05월,19800,19800,,	9791199144996,https://www.yes24.com/product/goods/189439480
60,방탄자기계발사관학교 5 (시대에 맞는 인재 양성 시스템),"최보규, 서윤희",BOOKK(부크크),2026년 05월,52200,52200,,	9791112190284,https://www.yes24.com/product/goods/189439462
61,방탄자기계발사관학교 6 (시대에 맞는 인재 양성 시스템),"최보규, 서윤희",BOOKK(부크크),2026년 05월,49500,49500,,	9791112190291,https://www.yes24.com/product/goods/189439457
62,처음 만나는 알파벳 라임 이야기 4권,퀸즈미라클 강은숙,BOOKK(부크크),2026년 05월,8800,8800,,	9791112188939,https://www.yes24.com/product/goods/189439445
63,가족이라서 감사합니다 공공복리(複利),반짝이풀,BOOKK(부크크),2026년 05월,13000,13000,10.0,	9791112190611,https://www.yes24.com/product/goods/189439438
64,품위 있는 사람,백서율,BOOKK(부크크),2026년 05월,10000,10000,,	9791112190352,https://www.yes24.com/product/goods/189439378
66,쿼드루틴,리치비(Rich Bee),드림벙커,2026년 05월,19000,17100,,	9791124130223,https://www.yes24.com/product/goods/189432825
67,나에게 가장 엄격한 사람,"케이티 모턴, 정지현",알에이치코리아(RHK),2026년 05월,22000,19800,,	9788925569345,https://www.yes24.com/product/goods/189428842
68,생각이 너무 많은 어른 관계,노멀휴먼,레몬북스,2026년 05월,17800,16020,,	9791191107616,https://www.yes24.com/product/goods/189407583
69,한눈에 보는 관광산업 취업 로드맵,"이강일, 윤지혜, 윤선미",좋은땅,2026년 05월,25000,22500,,	9791138857857,https://www.yes24.com/product/goods/189406921
70,헨리 포드의 원칙,헨리 포드,와이즈맵,2026년 05월,19800,17820,9.5,	9791124011119,https://www.yes24.com/product/goods/189405834
71,뇌는 왜 나를 딴짓하게 만드는가,"젤레나 몬미니, 박정은",21세기북스,2026년 05월,24900,22410,,	9791173579974,https://www.yes24.com/product/goods/189404827
72,기적을 만드는 잠재의식의 힘,김지효,북아지트,2026년 05월,19800,17820,10.0,	9791124435038,https://www.yes24.com/product/goods/189404251
73,불완전한 사랑이 나를 구한다,"카를라 마리 맨리, 송보라",체리쉬,2026년 05월,22000,19800,,	9791198441607,https://www.yes24.com/product/goods/189403926
74,미루지 않는 뇌,"스가와라 미치히토, 김동희",영진닷컴,2026년 05월,17000,15300,,	9788931479089,https://www.yes24.com/product/goods/189349397
75,나를 이기는 심리학,"스티브 매그니스, 이은경",상상스퀘어,2026년 05월,22000,19800,,	9791124248263,https://www.yes24.com/product/goods/189341416
76,혼자 떠안지 않는 연습,"마스노 슌묘, 한성례",비전코리아,2026년 05월,17000,15300,9.9,	9788963222431,https://www.yes24.com/product/goods/189338937
77,오늘부터 나는 평생현역이다,황일성,북랩,2026년 05월,16800,15120,,	9791175982932,https://www.yes24.com/product/goods/189337698
78,언제까지 핑계만 댈 건가요?,지유진,모티브,2026년 05월,19800,17820,10.0,	9791124370445,https://www.yes24.com/product/goods/189336162
80,당신은 이미 기적이다,북크북크,청년정신,2026년 05월,17000,15300,10.0,	9788958612629,https://www.yes24.com/product/goods/189230500
81,나와 잘 지내는 법,조민영,스피어인,2025년 12월,19000,17100,10.0,	9791199381889,https://www.yes24.com/product/goods/189225402
82,나는 동물병원 대신 스타트업으로 출근합니다,김수환,미다스북스(리틀미다스),2026년 05월,22000,19800,,	9791173559327,https://www.yes24.com/product/goods/189224285
83,슬래시 커리어 (큰글자책),김우재,파지트,2026년 05월,35000,35000,,	9791171521401,https://www.yes24.com/product/goods/189223507
84,우리는 모두 죽는다는 것을 기억하라 (큰글자도서),"웨인 다이어, 정지현",토네이도,2026년 05월,38000,38000,,	9791158513542,https://www.yes24.com/product/goods/189219529
