rank,title,author,publisher,pub_date,price_normal,price_sale,rating,isbn,link
1,"장기려, 우리 곁에 살다 간 성자","김은식, 이윤엽",나무야,,13500,13500,,	9791188717422,https://www.yes24.com/product/goods/193358579
2,교실로 들어온 생성형 AI,"김종훈, 곽현석, 이서연, 정재은",아모르문디,,19000,19000,,	9791191040548,https://www.yes24.com/product/goods/193870961
3,교육사상가의 삶과 사상,한국교육연구네트워크,살림터,,25200,25200,,	9791159303692,https://www.yes24.com/product/goods/193349066
4,박정희는 역사이다,이재훈,지우LNB(지우출판),,23800,23800,,	9791194120308,https://www.yes24.com/product/goods/193903596
9,한나 아렌트 : 사유하는 인간,"린지 스톤브리지, 손성화",사람in,2026년 06월,28000,25200,,	9791171012510,https://www.yes24.com/product/goods/192638856
10,박완서 마흔에 시작한 글쓰기 + 박완서 가족에 관한 글쓰기 세트,양혜원,책읽는고양이,2026년 06월,32800,29520,9.4,,https://www.yes24.com/product/goods/191222177
11,인물도서관 : 나폴레옹,김현정,구텐베르크,2026년 06월,13400,12060,9.9,	9791199653672,https://www.yes24.com/product/goods/190418179
12,인물도서관 : 오토 폰 비스마르크,김현정,구텐베르크,2026년 06월,13400,12060,9.9,	9791199653665,https://www.yes24.com/product/goods/190408414
13,박완서 가족에 관한 글쓰기,양혜원,책읽는고양이,2026년 06월,19800,17820,9.8,	9791192753522,https://www.yes24.com/product/goods/190399057
14,박천돈 회고록,박천돈,배움터,2026년 05월,18000,18000,,	9788989383369,https://www.yes24.com/product/goods/190380270
15,윤동주의 오래된 노트,김신정,사계절,2026년 05월,26000,23400,10.0,	9791169814447,https://www.yes24.com/product/goods/190239891
16,미셸 푸코의 말,"미셸 푸코, 로제 폴 드르와, 이상길",마음산책,2026년 06월,18000,16200,,	9788960909977,https://www.yes24.com/product/goods/189790585
17,AI시대에 인문학은 무엇인가,김형석,위더북,2026년 05월,15000,13500,10.0,	9791199076952,https://www.yes24.com/product/goods/189763681
